STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,2,4,6,5,6
2,1191,Barry Cain,male,2,7,3,1,7
3,1192,Lawrence Robertson,female,7,5,10,8,3
4,1193,Darla Vasquez,female,1,7,2,9,3
5,1194,Fredrick Miles,female,3,3,2,5,8
6,1195,Dorothy Summers,female,5,5,6,9,9
7,1196,Catherine Erickson,male,3,2,9,2,8
8,1197,Jamie Jackson,female,6,10,10,1,10
9,1198,Erik Snyder,male,10,4,9,7,10
10,1159,Gary Wilkerson,female,6,5,1,6,4
11,1160,Alberta Dunn,female,9,4,5,10,4
12,1161,Joanne Chapman,female,10,2,9,8,6
13,1162,Jacquelyn Hunter,female,9,10,8,10,9
14,1163,Arthur Nguyen,male,10,1,7,8,2
15,1164,Antoinette Wilson,female,9,3,2,10,8
16,1165,Terrence Mann,female,2,5,1,5,4
17,1166,Perry Hernandez,male,7,1,2,10,1
18,1167,Pauline Johnson,male,8,5,3,4,7
19,1168,Gladys Gardner,male,10,5,6,5,1
20,1169,Latoya Jordan,female,5,3,3,1,1
21,1170,Tony Allison,female,1,2,4,2,4
22,1171,Patsy Castro,female,3,10,2,5,3
23,1172,Lucas Little,female,5,9,5,6,4
24,1173,Deanna Silva,male,1,8,8,5,7
25,1174,Harry Pearson,female,6,3,9,7,1
26,1175,Ron Gonzalez,female,8,2,1,1,1
27,1176,Derek Patton,male,6,5,7,4,5
28,1177,Alonzo Hayes,female,2,7,8,6,6
29,1178,Marie Sherman,female,4,4,6,6,7
30,1179,Ed Franklin,female,1,7,8,10,7
31,1180,Lindsey Carlson,male,7,5,3,5,7
32,1181,Nicolas Rogers,female,8,8,7,2,10
33,1182,Daryl Joseph,male,3,5,7,5,2
34,1183,Hector Padilla,male,3,5,4,9,8
35,1184,Penny Barnett,male,4,9,8,9,10
36,1185,Ben Ross,male,6,10,3,10,7
37,1186,Adrienne Lucas,female,9,10,8,9,10
38,1187,Rudy Boone,female,5,6,5,4,3
39,1188,Luis Murray,female,10,7,3,1,7
40,1189,Carl Parsons,male,9,9,2,10,8
