STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1231,Marshall Huff,female,3,5,5,7,6
2,1232,Robin Ramsey,male,6,6,9,4,10
3,1233,Noel Holmes,male,8,10,3,6,4
4,1234,Leland Oliver,female,10,10,1,2,10
5,1235,Ellis Davidson,female,1,3,1,8,6
6,1236,Laverne Mendoza,female,6,1,1,4,3
7,1237,Diana Robbins,female,8,1,6,1,2
8,1238,Rickey Mckenzie,female,8,3,9,3,7
9,1239,Beth Simmons,male,6,4,6,3,2
10,1199,Jessica Payne,male,5,7,4,5,10
11,1200,Juan Russell,male,6,1,2,6,8
12,1201,Milton Martin,female,2,6,7,9,5
13,1202,Carlos Baker,female,8,7,1,5,8
14,1203,Harvey Holland,male,2,7,9,1,7
15,1204,Roosevelt Romero,male,9,7,5,10,9
16,1205,Andy Gill,female,3,8,7,6,9
17,1206,Leigh Sharp,male,5,1,10,2,5
18,1207,Hilda Allen,female,6,8,1,2,2
19,1208,Raymond Weber,male,10,9,8,10,1
20,1209,Gerald Henry,male,3,1,4,4,2
21,1210,Jean Price,female,2,2,1,1,2
22,1211,Verna Marshall,male,10,5,4,7,4
23,1212,Mona Porter,male,1,7,5,8,7
24,1213,Maureen Todd,female,3,9,10,9,2
25,1214,Glenda Woods,male,5,4,7,1,5
26,1215,Seth Hampton,male,6,1,6,1,4
27,1216,Alison Nichols,male,4,5,2,9,4
28,1217,Kayla Evans,female,6,8,8,1,9
29,1218,Levi Freeman,female,6,4,6,6,2
30,1219,Henry Williamson,male,6,2,6,4,2
31,1220,Virgil Jacobs,male,1,7,6,3,9
32,1221,Shelley Hughes,female,5,5,1,1,1
33,1222,Clifford Obrien,male,10,10,8,9,6
34,1223,Armando Harrison,male,9,10,3,10,3
35,1224,Judith Conner,female,4,6,9,7,8
36,1225,Peter Underwood,female,9,8,6,9,5
37,1226,Betsy Gutierrez,male,1,10,2,9,4
38,1227,Alexis Mcbride,female,8,9,6,2,4
39,1228,Courtney Kennedy,female,2,1,4,1,4
40,1229,Clint Lynch,male,2,1,4,9,8
41,1230,Bertha Smith,female,2,9,10,7,9
