fullname,id,gender,birthyear,address
Dixie Campbell,9420,male,1955,"550 Providence Hwy, Walpole MA 2081"
Louis Rice,8402,male,1957,"352 Palmer Road, Ware MA 1082"
Nathan Holland,7232,male,1972,"3005 Cranberry Hwy Rt 6 28, Wareham MA 2538"
Terrence Wade,8784,male,1960,"250 Rt 59, Airmont NY 10901"
Everett Mathis,9433,female,1968,"141 Washington Ave Extension, Albany NY 12205"
Roberta Joseph,4169,female,1963,"13858 Rt 31 W, Albion NY 14411"
Julio Hardy,8951,male,1979,"2055 Niagara Falls Blvd, Amherst NY 14228"
Armando Fox,8324,female,1976,"101 Sanford Farm Shpg Center, Amsterdam NY 12010"
Iris Hunter,6506,female,1963,"297 Grant Avenue, Auburn NY 13021"
Otis Townsend,7203,female,1970,"4133 Veterans Memorial Drive, Batavia NY 14020"
Olive Harris,4042,male,1994,"6265 Brockport Spencerport Rd, Brockport NY 14420"
Ian Brewer,8878,male,1995,"5399 W Genesse St, Camillus NY 13031"
Greg Foster,7663,female,1993,"3191 County rd 10, Canandaigua NY 14424"
Erika Barnes,5313,male,1981,"30 Catskill, Catskill NY 12414"
Eric Mccarthy,7639,female,1969,"161 Centereach Mall, Centereach NY 11720"
Erik Mcguire,8653,male,1962,"3018 East Ave, Central Square NY 13036"
Archie Dawson,8310,female,1983,"100 Thruway Plaza, Cheektowaga NY 14225"
Nancy Hughes,7007,female,1961,"8064 Brewerton Rd, Cicero NY 13039"
Salvador Robbins,6958,female,1991,"5033 Transit Road, Clarence NY 14031"
Casey Neal,7449,female,1965,"3949 Route 31, Clay NY 13041"
Ricardo Wilkins,4584,female,1972,"139 Merchant Place, Cobleskill NY 12043"
Eva Miller,8086,female,1977,"85 Crooked Hill Road, Commack NY 11725"
Russell Reyes,3661,female,1983,"872 Route 13, Cortlandville NY 13045"
Cora Floyd,5769,male,1966,"279 Troy Road, East Greenbush NY 12061"
Rick Herrera,6963,male,1980,"2465 Hempstead Turnpike, East Meadow NY 11554"
Anne Morris,6540,male,1969,"6438 Basile Rowe, East Syracuse NY 13057"
Samuel Burke,9842,male,1972,"25737 US Rt 11, Evans Mills NY 13637"
Tara Hawkins,4298,female,1986,"901 Route 110, Farmingdale NY 11735"
Marc Little,7037,male,1956,"2400 Route 9, Fishkill NY 12524"
Andres Houston,5261,female,1958,"10401 Bennett Road, Fredonia NY 14063"
Geraldine George,8952,male,1985,"1818 State Route 3, Fulton NY 13069"
Fernando Roy,7916,female,1955,"4300 Lakeville Road, Geneseo NY 14454"
Myra Burgess,6983,male,1986,"990 Route 5 20, Geneva NY 14456"
Leah Wilkerson,9031,male,1991,"311 RT 9W, Glenmont NY 12077"
Danielle Ball,8141,female,1973,"200 Dutch Meadows Ln, Glenville NY 12302"
Carl Rios,8804,female,1976,"100 Elm Ridge Center Dr, Greece NY 14626"
Viola Thomas,3791,female,1955,"1549 Rt 9, Halfmoon NY 12065"
Esther Mendoza,6696,female,1980,"5360 Southwestern Blvd, Hamburg NY 14075"
Constance Ramsey,6542,female,1967,"103 North Caroline St, Herkimer NY 13350"
Irene Vasquez,4050,male,1963,"1000 State Route 36, Hornell NY 14843"
