STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1039,Maria King,male,8,2,1,8,10
2,1040,Cornelius Delgado,female,9,5,6,3,4
3,1041,Jo Underwood,female,7,7,6,3,8
4,1042,Guadalupe Aguilar,female,4,1,5,2,6
5,1043,Stacey Wood,male,10,6,7,7,10
6,1044,Darin Dawson,female,3,10,8,10,4
7,1045,James Carson,male,8,10,10,8,7
8,1046,Bonnie Taylor,male,9,8,1,9,6
9,1047,Rickey Maldonado,female,6,5,10,2,2
10,1048,Ivan Shaw,female,10,7,7,10,2
11,1049,Krista Murphy,female,6,1,7,10,7
12,1050,Mona Tyler,female,8,7,6,9,8
13,1051,Laverne Roberts,female,5,4,6,8,10
14,1052,Rex Soto,female,4,3,4,4,5
15,1053,Robert Matthews,female,4,6,4,10,7
16,1054,Maryann Newman,female,6,9,8,3,2
17,1055,Gordon Oliver,male,3,7,2,9,7
18,1056,Kelvin Greene,female,3,3,5,3,6
19,1057,Elbert Burns,female,8,7,7,5,2
20,1058,Nicole Garrett,male,2,8,2,9,9
21,1059,Jerald Crawford,male,5,9,8,3,8
22,1060,Catherine Torres,male,4,10,3,2,6
23,1061,Stanley Vega,male,7,10,3,1,8
24,1062,Frederick Ray,female,3,2,7,6,2
25,1063,Loren Barnett,female,7,4,7,5,5
26,1064,Terrance Wallace,female,7,10,10,4,7
27,1065,Johanna Warren,male,4,2,2,7,8
28,1066,Dallas Benson,male,7,4,1,9,4
29,1067,Malcolm Cooper,male,7,4,7,8,8
30,1068,Troy Mcdonald,female,2,9,4,2,7
31,1069,Sergio Morrison,male,6,6,10,8,10
32,1070,Genevieve Bell,female,6,8,4,7,1
33,1071,Celia Swanson,male,3,2,10,8,8
34,1072,Jordan Tran,female,3,9,10,2,5
35,1073,Amy Black,male,2,4,10,7,6
36,1074,Craig Barton,male,3,6,9,10,3
37,1075,Lynn Adams,female,1,4,4,6,1
38,1076,Clifford Patton,male,6,4,6,1,5
39,1077,Wilma Simpson,female,8,7,2,2,4
40,1078,Beth Simmons,male,10,1,1,2,10
