STT,MSHS,TEN,GIOI TINH,DIEM MIENG,DIEM 15 PHUT,DIEM 1 tIET, DIEM GIUA KY, DIEM CUOI KY
1,1190,Alexander Cross,male,10,1,9,8,1
2,1191,Barry Cain,male,1,9,6,10,9
3,1192,Lawrence Robertson,female,10,10,4,10,9
4,1193,Darla Vasquez,female,3,8,9,1,3
5,1194,Fredrick Miles,female,5,7,4,3,3
6,1195,Dorothy Summers,female,7,2,8,10,5
7,1196,Catherine Erickson,male,3,9,4,3,1
8,1197,Jamie Jackson,female,4,7,1,4,1
9,1198,Erik Snyder,male,9,2,10,7,8
10,1159,Gary Wilkerson,female,2,2,10,8,7
11,1160,Alberta Dunn,female,2,4,3,3,1
12,1161,Joanne Chapman,female,1,5,9,2,6
13,1162,Jacquelyn Hunter,female,8,3,5,2,5
14,1163,Arthur Nguyen,male,4,7,5,1,8
15,1164,Antoinette Wilson,female,4,9,6,5,4
16,1165,Terrence Mann,female,6,8,1,4,3
17,1166,Perry Hernandez,male,5,2,7,9,5
18,1167,Pauline Johnson,male,8,3,1,5,2
19,1168,Gladys Gardner,male,1,8,3,2,1
20,1169,Latoya Jordan,female,4,8,4,9,2
21,1170,Tony Allison,female,4,4,1,2,8
22,1171,Patsy Castro,female,7,7,7,3,3
23,1172,Lucas Little,female,7,6,9,5,2
24,1173,Deanna Silva,male,8,6,9,6,5
25,1174,Harry Pearson,female,4,7,9,3,5
26,1175,Ron Gonzalez,female,5,9,9,8,10
27,1176,Derek Patton,male,3,1,10,3,10
28,1177,Alonzo Hayes,female,10,5,9,9,2
29,1178,Marie Sherman,female,10,5,10,8,2
30,1179,Ed Franklin,female,7,3,3,1,5
31,1180,Lindsey Carlson,male,5,10,4,7,8
32,1181,Nicolas Rogers,female,4,3,7,7,3
33,1182,Daryl Joseph,male,4,9,2,8,5
34,1183,Hector Padilla,male,1,4,10,7,8
35,1184,Penny Barnett,male,8,2,2,7,3
36,1185,Ben Ross,male,4,3,10,5,2
37,1186,Adrienne Lucas,female,4,7,7,6,1
38,1187,Rudy Boone,female,7,1,9,8,6
39,1188,Luis Murray,female,10,2,4,1,1
40,1189,Carl Parsons,male,8,4,2,10,5
